Class,Confidence,Latitude,Longitude,TileRow,TileCol

person,0.32,41.19539540266467,29.24371272817092,0,7
kite,0.45,41.19535640828014,29.24372481241864,2,7
person,0.26,41.19535506826692,29.24377073255999,2,8
kite,0.3,41.19533724609117,29.243685135805283,3,6
kite,0.25,41.1953339630588,29.2437673086898,3,8
kite,0.27,41.195303142754874,29.243843942960783,5,11
kite,0.33,41.19528284155468,29.243724611014514,6,7
kite,0.53,41.195282573552035,29.243762575692777,6,8
person,0.75,41.195263679365716,29.24367808666078,7,5
skateboard,0.32,41.19526213835052,29.243678288064906,7,5
person,0.54,41.19526361236505,29.24368130912684,7,6
skateboard,0.48,41.19526133434259,29.243681107722708,7,6
car,0.54,41.19561631444377,29.243705923063757,0,4
cell phone,0.41,41.19551996749367,29.24383149896155,5,8
frisbee,0.55,41.195894315948564,29.243745208703483,1,6
cell phone,0.72,41.195830933323535,29.243609662658038,4,1
person,0.88,41.195798974008376,29.243817714760482,6,8
